Platform	Genre	Name	Year_Released	Developer
3DS	Platform	SpongeBob: HeroPants	2015	Activision
PS2	Misc	Dora's Big Birthday Adventure	2010	2K Play
PS2	Misc	PopStar Guitar	2008	XS Games
PS	Sports	NHL Blades of Steel 2000	1999	?
PS2	Sports	Outlaw Volleyball Remixed	2004	Hypnotix
3DS	Adventure	Corpse Party: Blood Covered - Repeated Fear	2015	?
PS2	Strategy	The Adventures of Darwin	2006	Vingt-et-un Systems
PS4	Action	Berserk and the Band of the Hawk	2016	Omega Force
DS	Misc	Just Sing! Vol. 2	2011	?
GBA	Role-Playing	Klonoa Heroes: Densetsu no Star Medal	2002	?
PS	Adventure	Pajama Sam: You are What You Eat From Your Head to Your Feet	2001	?
PS4	Action	Metal Gear Solid V: The Definitive Experience	2016	Kojima Productions
DS	Puzzle	Jewel Quest Mysteries 2: Trail of the Midnight Heart	2011	?
DS	Shooter	Brothers In Arms DS	2007	Gameloft
PSV	Action	Gal Gun: Double Peace	2015	"Alchemist, Inti Creates"
PS	Strategy	Warhammer: Dark Omen	1998	?
GBA	Puzzle	Denki Blocks!	2001	?
PSP	Action	Mobile Suit Gundam: Mokuba no Kiseki	2012	?
PC	Racing	Off-Road Drive	2011	Avalon Style
DS	Simulation	A Ressha de Ikou DS	2009	?
PSP	Role-Playing	Harukanaru Toki no Naka de 4: Aizouban	2010	?
PS	Puzzle	Ballistic	1999	?
XB	Racing	Colin McRae Rally 3	2002	Codemasters
Wii	Misc	City Builder	2010	Collision Studios
XOne	Sports	Don Bradman Cricket 14	2015	?
PS2	Racing	Sega Rally 2006	N/A	?
DS	Action	TMNT	2007	Ubisoft Quebec
DC	Action	Gundam Battle Online	2001	?
GC	Fighting	Shonen Jump's One Piece: Grand Adventure	2006	?
Wii	Misc	NatGeo Challenge! Wild Life	2010	?
DS	Misc	Holly Hobbie & Friends	2007	?
PS2	Action	Stolen	2005	Blue 52
Wii	Racing	Glacier2	2009	?
PSP	Misc	Gitaroo Man Lives!	2006	?
X360	Sports	Stoked: Big Air Edition	2009	Bongfish
DS	Misc	Heathcliff! Frantic Foto	2010	?
PS2	Adventure	Memories Off 6: T-Wave	2008	?
PC	Action	LEGO Jurassic World	2015	TT Games
XB	Racing	Pro Race Driver	2003	Codemasters
3DS	Action	Famicom Remix Best Choice	2015	?
PS	Misc	Ide Yosuke no Mahjong Kazoku	1995	?
DS	Puzzle	Jig-A-Pix: Pets	2009	Frame Studios Interactive
PSP	Strategy	R-Type Command (correct US sales)	2007	?
PSP	Puzzle	Quiz Mobile Gundam: Toi Senshi DX	2006	?
PS	Platform	E.T. The Extra-Terrestrial: Interplanetary Mission	2001	?
Wii	Adventure	Story Hour: Fairy Tales	2008	Other Ocean Interactive
PC	Simulation	The Movies	2005	Lionhead Studios
PS	Adventure	Countdown Vampires	1999	K2 LLC
PSP	Action	Dynasty Warriors Vol. 2 (JP sales)	2006	?
PS	Shooter	Crypt Killer	1997	?
DS	Action	Tokumei Sentai Go-Busters	2012	?
PS2	Sports	Dramatic Soccer Game: Nippon Daihyou Senshu Ninarou!	2002	?
PSV	Misc	The Idolm@ster: Must Songs - Red Board / Blue Board	2015	?
DS	Sports	FIFA World Cup Germany 2006	2006	EA Canada
PC	Simulation	Train Simulator 2016	2015	Dovetail Games
PS	Shooter	PO'ed	1996	?
PS	Strategy	Battle Hunter	1999	?
Wii	Shooter	Wicked Monster Blast!	2011	?
PS	Sports	Adidas Power Soccer	1996	?
PC	Strategy	Supreme Commander: Forged Alliance	2007	Gas Powered Games
PS	Simulation	Darklight Conflict	1997	?
PS3	Adventure	Shin Hayarigami	2014	?
XOne	Action	Warriors Orochi 3	2014	?
GBA	Action	Dragon Ball: Advanced Adventure	2004	Dimps Corporation
NG	Fighting	Art of Fighting 3: The Path of the Warrior	1996	?
DS	Misc	I'm A Celebrity: Get Me Out of Here!	2009	?
GBA	Action	The Ripping Friends	2002	Creations
PS	Misc	Konami Arcade Classics	1999	?
PSP	Action	Hunter x Hunter: Wonder Adventure	2012	?
PC	Shooter	Lost Planet 3	2013	Spark Unlimited
GBA	Action	Super Army War	2005	Atlus Co.
PSP	Action	Ao no Exorcist: Genkoku no Labyrinth	2012	?
PS2	Adventure	Echo Night Beyond	2004	From Software
DS	Puzzle	Meteos: Disney Magic	2007	Q Entertainment
PSP	Misc	Minna no Chizu	2006	?
GBA	Shooter	Doom II: Hell on Earth	2002	?
PSP	Strategy	Taikou Risshiden V	2009	?
GC	Sports	Jikkyou Powerful Major League	2006	?
XOne	Racing	NASCAR Heat Evolution	2016	Dusenberry Martin Racing
PSP	Adventure	Suzumiya Haruhi no Tsuisou	2011	?
3DS	Action	Beyblade Evolution	2013	Rising Star Games
PSV	Role-Playing	Ar Nosurge: Ode to an Unborn Star	2014	?
GC	Sports	Evolution Skateboarding	2002	KCEO
PC	Action	Castlevania: Lords of Shadow 2	2014	Mercury Steam
DS	Shooter	Greg Hastings' Tournament Paintball Max'd	2006	Nightlight Studios
PS2	Sports	Jikkyou World Soccer 2002	2002	?
Wii	Misc	Sleepover Party	2009	?
PC	Shooter	Halo: Combat Evolved	2003	Gearbox Software
PS2	Adventure	Tenshou Gakuen Gekkouroku	2006	?
PS4	Role-Playing	Exist Archive: The Other Side of the Sky	2015	Tri-Ace
X360	Racing	Ski-Doo Snowmobile Challenge	2009	Coldwood Interactive
DS	Shooter	Little Red Riding Hood's Zombie BBQ	2008	EnjoyUp Games
PS3	Adventure	Aquanaut's Holiday: Kakusareta Kiroku	2008	?
PS3	Role-Playing	Ragnarok Odyssey	2014	?
DS	Misc	Texas Hold 'Em Poker DS	2005	Skyworks Technologies
GBA	Racing	Big Mutha Truckers	2005	?
DS	Role-Playing	Magical Starsign (JP sales)	2006	?
PS4	Action	Assassin's Creed Chronicles: China	2015	"Climax Group, Climax Studios"
PSP	Racing	DT Carnage	2009	Axis Entertainment
PC	Strategy	Worms: Ultimate Mayhem	2011	Team 17
PS2	Sports	Rugby 08	2007	EA Canada
DS	Simulation	GoPets: Vacation Island	2008	1st Playable Productions
DC	Adventure	Pia Carrot e Youkoso!! 2.5	2008	?
PC	Strategy	Caesar IV	2006	Tilted Mill
Wii	Adventure	Sherlock Holmes: Secret of The Silver Earring	2010	?
PS3	Racing	Ferrari Challenge Trofeo Pirelli	2008	Eutechnyx
PS2	Action	Cy Girls	2004	KCEJ
PSV	Role-Playing	Ray Gigant	2015	Bandai Namco Games
PC	Role-Playing	APB Reloaded	2011	"Reloaded Productions, Reloaded Games Inc."
GBA	Shooter	The Sum of All Fears	2002	Red Storm Entertainment
PSP	Adventure	Da Capo I & II Plus Situation Portable	2010	?
PSV	Racing	Winning Post 8	2014	?
DS	Misc	Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki	2010	?
DS	Puzzle	Bubble Bobble Double Shot	2007	Marvelous Entertainment
Wii	Shooter	Bionicle Heroes	2007	Traveller's Tales
PC	Action	Harry Potter and the Order of the Phoenix	2007	EA Games
GBA	Action	Minority Report: Everybody Runs	2002	Torus Games
X360	Role-Playing	Monster Hunter Frontier Online: Season 9.0	2010	?
DS	Shooter	C.O.R.E.	2009	NoWay Studio
GBA	Platform	Garfield: The Search for Pooky	2003	?
SAT	Fighting	Galaxy Fight	1994	?
PSV	Role-Playing	Super Hero Generation	2014	?
PS2	Strategy	Chaos Wars	2006	Idea Factory
PS2	Role-Playing	Steambot Chronicles	2005	Irem
PS	Puzzle	Mr. Driller	1999	?
PSP	Action	Toki no Kizuna: Sekigahara Kitan	2012	?
PSP	Adventure	Norn9: Norn + Nonette	2013	?
DS	Adventure	Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo	2007	?
GBA	Action	Gumby vs. the Astrobots	2005	Torus Games
PS2	Misc	Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki	2008	?
GC	Platform	Scaler	2004	Artificial Mind and Movement
PS3	Sports	Summer Challenge: Athletics Tournament	2011	PQube
X360	Adventure	Chaos;Head Noah	2009	?
PC	Action	Scarface: The World is Yours	2006	Radical Entertainment
PS3	Strategy	Tears to Tiara Anecdotes: The Secret of Avalon	2009	?
PS3	Role-Playing	Legasista	2012	System Prisma
PS2	Fighting	Fatal Fury: Battle Archives Volume 1	2006	SNK Playmore
DS	Puzzle	Logic Machines	2009	?
PC	Action	Harry Potter and the Prisoner of Azkaban	2004	KnowWonder
3DS	Strategy	Nobunaga's Ambition II	2015	?
PSP	Adventure	Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban	2009	?
PSP	Racing	OutRun 2006: Coast 2 Coast	2006	Sumo Digital
PS3	Misc	Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden	2016	?
PS	Role-Playing	Rhapsody: A Musical Adventure	1998	?
PSP	Puzzle	Fading Shadows	2008	Ivolgamus
PS2	Misc	Music Maker: Rockstar	2009	?
XB	Racing	Smashing Drive	2002	Namco
DS	Misc	"Minna de Jibun no Setsumeisho: B-Kata, A-Kata, AB-Kata, O-Kata"	2008	?
PS2	Shooter	Without Warning	2005	CiRCLE
PS2	Racing	Formula 1 06	2006	?
DC	Fighting	Fighting Vipers 2	2000	?
XB	Action	Teenage Mutant Ninja Turtles 3: Mutant Nightmare	2005	Konami
PC	Racing	Richard Burns Rally	2004	?
PSP	Puzzle	Napoleon Dynamite: The Game	2007	7 Studios
XB	Action	Beatdown: Fists of Vengeance	2005	?
PC	Action	Saints Row 2	2009	"Volition Inc., CD Projekt Red Studio, CD Projekt, CD Projekt Localisation Centre"
PS3	Role-Playing	Enchanted Arms (JP sales)	2007	?
PC	Platform	Trine 2	2011	"Frozenbyte, Inc."
GBA	Shooter	Monster Force	2002	Digital Eclipse
DS	Misc	Onsei Kanjou Sokuteiki: Kokoro Scan	2007	?
PC	Simulation	Sid Meier's Railroads!	2006	?
PSP	Adventure	Clock Zero: Shuuen no Ichibyou Portable	2011	?
PSP	Adventure	Trick x Logic: Season 2	2010	?
DS	Strategy	San Goku Shi DS 3	2010	?
PS2	Adventure	Hakuouki: Zuisouroku	2009	?
XB	Sports	World Championship Pool 2004	2003	Blade Interactive
PS2	Sports	Derby Tsuku 5: Derby Uma o Tsukurou!	2006	?
Wii	Sports	Jikkyou Powerful Major League 2009	2009	?
DS	Adventure	Teenage Zombies: Invasion of the Alien Brain Thingys	2008	InLight Entertainment
PS2	Shooter	SD Gundam Force: Showdown!	2004	?
DS	Puzzle	The Treasures of Montezuma	2010	Foreign Media
PS2	Adventure	Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~	2006	?
PS2	Misc	Flow: Urban Dance Uprising	2005	Artificial Mind and Movement
PSP	Action	Ailu de Puzzle	2012	?
DS	Sports	Real Soccer 2008	2007	Gameloft
PC	Simulation	Transport Fever	2016	Urban Games
PS	Misc	True Pinball	1996	?
PC	Shooter	Homefront: The Revolution	2016	Deep Silver Dambuster Studios
GBA	Sports	Stadium Games	2003	?
XB	Shooter	RLH: Run Like Hell	2003	Digital Mayhem
DS	Sports	Power Play Pool	2006	System 3
PS4	Role-Playing	Phantasy Star Online 2 Episode 4: Deluxe Package	2017	?
GEN	Sports	J-League Pro Striker 2	1994	?
XB	Adventure	Obscure	2004	Hydravision
DS	Misc	Mahjong Taikai	2004	?
PS2	Strategy	Super Robot Taisen: Scramble Commander the 2nd	2007	?
XOne	Misc	Just Dance 2017	2016	Ubisoft Paris
X360	Misc	Just Dance 2017	2016	Ubisoft Paris
PSV	Role-Playing	Stranger of Sword City	2015	Experience Inc.
DS	Simulation	Jane's Hotel	2010	Zoo Games
X360	Shooter	Espgaluda II Black Label	2010	?
GBA	Action	Hot Potato!	2001	?
3DS	Misc	The Croods: Prehistoric Party!	2013	?
PC	Puzzle	World of Goo	2008	2D Boy
PSP	Role-Playing	Kiniro no Corda 2 f	2009	?
X360	Sports	Pro Evolution Soccer 2017	2016	Konami
PC	Strategy	World in Conflict: Complete Edition	2009	Massive Entertainment
PS	Role-Playing	Deception III: Dark Delusion	1999	?
DS	Misc	Ultimate Game Room	2009	FrontLine Studios
PS4	Action	Warhammer: The End Times - Vermintide	2016	?
3DS	Misc	DoraMoji: Nobita no Kanji Daisakusen	2015	?
PC	Adventure	Secret Files 2: Puritas Cordis	2009	"Fusionsphere Systems, Animation Arts"
PSP	Role-Playing	Half-Minute Hero 2	N/A	?
Wii	Misc	Cook Wars	2009	Virtual Toys
PSP	Role-Playing	Monster Kingdom: Jewel Summoner	2006	Gaia (Sony)
PC	Strategy	Railroad Tycoon 3	2003	PopTop Software
DS	Action	Kuroshitsuji: Phantom & Ghost	2009	?
DS	Simulation	Zoo Hospital	2007	Torus Games
DS	Role-Playing	Fushigi no Dungeon: Fuurai no Shiren 5 - Fortune Tower to Unmei no Dice	2010	?
PSV	Action	Macross ? Scramble	2016	?
Wii	Puzzle	Sudoku Ball Detective	2009	Whitebear
GBA	Platform	The Ant Bully	2006	Artificial Mind and Movement
PSP	Adventure	Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen	2010	?
GBA	Misc	Sega Arcade Gallery	2003	Bits Studios
DS	Role-Playing	Tao Adventure: Curse Demon	2005	?
DS	Role-Playing	"My World, My Way (US sales)"	2008	?
PC	Shooter	S.T.A.L.K.E.R.: Clear Sky	2008	GSC Game World
XB	Role-Playing	Black Stone: Magic & Steel	2003	?
PS2	Racing	NHRA Drag Racing: Countdown to the Championship	2007	?
PC	Strategy	Sins of a Solar Empire: Trinity	2010	Ironclad Games
DS	Misc	Bratz Kidz	2008	Neko Entertainment
PS2	Adventure	Harukanaru Toki no Naka de: Maihitoyo	2006	?
XB	Shooter	Painkiller: Hell Wars	2006	People Can Fly
DS	Action	Housekeeping	N/A	?
3DS	Action	My Hero Academia: Battle for All	2016	?
PS2	Misc	FunkMaster Flex's Digital Hitz Factory	2003	Jester Interactive
DS	Racing	Double Value!: ATV Thunder Ridge Riders / Monster Trucks Mayhem	2007	?
PS3	Shooter	Greg Hastings Paintball 2	2010	Super X Studios
PSP	Adventure	Sangoku Koi Senki: Otome no Heihou!	2012	?
GEN	Platform	Castlevania Bloodlines	1994	?
DS	Adventure	Hakuouki: Zuisouroku DS	2011	?
PSP	Action	Detective Conan: Prelude from the Past	2012	?
DS	Misc	100 Classic Games	2011	Easy Interactive
DS	Role-Playing	Luminous Arc 3	2009	?
WiiU	Action	Adventure Time: Explore the Dungeon Because I Don't Know!	2013	?
PC	Strategy	World in Conflict	2007	Massive Entertainment
PS3	Adventure	XBLAZE Code: Embryo	2013	Arc System Works
PSV	Role-Playing	The Legend of Heroes: Trails in the Sky SC Evolution	2015	?
PSP	Sports	Major League Baseball 2K8	N/A	Kush Games
3DS	Strategy	FabStyle	2011	?
PS2	Simulation	Rebel Raiders: Operation Nighthawk	2006	Kando Games
DS	Misc	Astrology DS	2009	?
Wii	Racing	Zenkoku Dekotora Matsuri	2008	?
3DS	Simulation	Cooking Mama: My Sweets Shop	2014	?
3DS	Action	Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!	2016	?
GBA	Action	Alienators: Evolution Continues	2001	Digital Eclipse
PS3	Action	Onechanbara Z Kagura	2013	?
PSV	Sports	Dead or Alive Xtreme 3: Venus	2016	?
PS3	Misc	Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin	2010	?
PC	Sports	Pro Cycling Manager 2016	2016	Cyanide
DS	Action	Pirates: Duels on the High Seas	2008	Oxygen Interactive
XB	Racing	MX World Tour Featuring Jamie Little	2005	Impulse Games
3DS	Action	PriPara Mezameyo! Megami no Dress Design	2016	?
PC	Action	Tomb Raider: Anniversary	2007	Nixxes Software
PS4	Action	Sengoku Basara: Sanada Yukimura-Den	2016	?
Wii	Shooter	Marines: Modern Urban Combat	2010	Destineer
PS4	Action	Infamous: First Light	2014	Sucker Punch
PS3	Misc	The Idolmaster: Gravure For You! Vol. 4	2012	?
DS	Puzzle	Puyo Pop Fever(us sales)	2004	?
PS4	Sports	Tour de France 2014	2014	Cyanide
XB	Sports	RedCard 20-03	2002	Point of View
DS	Role-Playing	Katekyoo Hitman Reborn! DS: Fate of Heat II - Unmei no Futari	2009	?
DS	Misc	Deal or No Deal: Special Edition	2010	Zoo Games
PSP	Puzzle	Puyo Puyo 7	2009	?
PS2	Action	Asterix & Obelix: Kick Buttix	2004	?
SAT	Shooter	Radiant Silvergun	1998	?
PC	Adventure	The Night of the Rabbit	2013	Daedalic Entertainment
PSP	Action	Bounty Hounds	2006	Xpec
GBA	Action	Care Bears - Care Quest	2005	?
X360	Racing	Burnout Paradise: The Ultimate Box	2009	?
PSP	Action	Even in a Game Listen to Me Girls. I Am Your Father!	2012	?
DS	Adventure	Tokyo Majin Gakuen: Kenfuuchou	2008	?
DS	Puzzle	Challenge Me: Word Puzzles	2011	O-Games
GBA	Action	Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken	2002	?
PSP	Racing	NHRA Drag Racing: Countdown to the Championship	2007	?
GBA	Fighting	Zatch Bell! Electric Arena	2003	?
XB	Racing	TOCA Race Driver 3	2006	Codemasters
PC	Strategy	A Game of Thrones: Genesis	2011	Cyanide
PC	Role-Playing	Gothic Universe	2007	DreamCatcher Interactive
PS2	Misc	Daito Giken Premium Pachi-Slot Collection: Yoshimune	2006	?
PSV	Action	Diabolik Lovers: Dark Fate	2015	?
GBA	Action	Sky Dancers	2005	?
PC	Racing	Need for Speed (2015)	2016	?
GBA	Shooter	Silent Scope	2002	Now Production
3DS	Action	Deer Drive: Legends	2012	Raylight Studios
PS2	Misc	World Series of Poker: Tournament of Champions 2007 Edition	2006	?
GBA	Role-Playing	Yggdra Union: We'll Never Fight Alone	2006	?
PC	Action	The Cursed Crusade	2011	Kylotonn
PC	Strategy	Hotel Giant 2	2008	Enlight Software
PSV	Fighting	Gakusen Toshi Asterisk Festa: Houka Kenran	2016	?
PS3	Misc	Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou	2012	?
PC	Strategy	Caesar III	1998	Impressions Games
PC	Simulation	DarkStar One	2006	Ascaron Entertainment GmbH
PS3	Racing	Wangan Midnight	2007	?
PS2	Sports	ESPN NBA 2Night 2002	2002	Konami
GC	Sports	Cabela's Dangerous Hunts 2	2005	FUN Labs
Wii	Action	Kekkaishi: Kokubourou no Kage	2007	?
GBA	Action	"Crouching Tiger, Hidden Dragon"	2003	Ubisoft Shanghai
PS3	Adventure	Suzumiya Haruhi no Tsuisou	2011	?
3DS	Action	Mame Goma: Shiro to Kuro no Meikyuu	2012	?
PS	Strategy	Trap Gunner: Countdown to Oblivion	1998	?
PC	Action	Hitman: Blood Money	2006	Io Interactive
DS	Adventure	Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo	2006	?
PS2	Adventure	Harukanaru Toki no Naka de Yumenoukihashi Special	2009	?
PS4	Shooter	Duke Nukem 3D: 20th Anniversary World Tour	2016	Gearbox Software
PC	Shooter	Section 8	2009	TimeGate Studios
PS2	Adventure	Tsuyo Kiss: Mighty Heart	2006	?
GBA	Platform	Sabre Wulf	N/A	Rare Ltd.
PC	Role-Playing	Alpha Protocol	2010	Obsidian Entertainment
PC	Role-Playing	Planescape: Torment	1998	Black Isle Studios
PS2	Misc	Gacharoku	2002	?
PSP	Puzzle	Cake Mania: Baker's Challenge	2008	Coresoft
GC	Racing	SX Superstar	2003	?
DS	Simulation	Zoo Vet: Endangered Animals	2008	Legacy Interactive
3DS	Puzzle	Paddington: Adventures in London	2015	Ravenscourt
GBA	Racing	Driven	2001	Crawfish Interactive
PC	Shooter	Star Wars Jedi Knight: Jedi Academy	2003	Raven Software
GC	Shooter	Red Faction II	2003	Cranky Pants Games
3DS	Role-Playing	Langrisser: Re:Incarnation Tensei	2015	?
PS4	Role-Playing	Atelier Firis: The Alchemist of the Mysterious Journey	2016	?
DS	Role-Playing	Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou	2011	?
WS	Strategy	SD Gundam G Generation: Gather Beat 2	2001	?
PS2	Shooter	Battle Engine Aquila	2003	Lost Toys
PC	Action	Hello Kitty: Roller Rescue	2005	?
XB	Shooter	Special Forces: Nemesis Strike	2005	Asobo Studio
PS2	Sports	Women's Volleyball Championship	2007	Spike
Wii	Sports	Jikkyou Powerful Pro Yakyuu Wii Ketteiban	2007	?
PS2	Misc	Rakushou! Pachi-Slot Sengen 5: Rio Paradise	2007	?
PS2	Role-Playing	Crimson Tears	2004	DreamFactory
PS2	Action	Battle Assault 3 featuring Gundam Seed	2004	Natsume
PSP	Racing	WRC: FIA World Rally Championship	2005	Traveller's Tales
DS	Simulation	Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen	2008	?
PS	Action	Batman Forever: The Arcade Game	1996	?
3DS	Strategy	Romance of the Three Kingdoms (3DS)	2013	?
PC	Action	Living Legends: Frozen Beauty	2014	Playrix Entertainment
GC	Sports	Cabela's Outdoor Adventures	2005	MagicWand
WiiU	Action	Penguins of Madagascar	2014	Little Orbit
X360	Sports	Rapala Tournament Fishing!	2006	FUN Labs
PS3	Strategy	Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita	2011	?
GBA	Sports	Backyard NFL Football 2006	2005	?
PS3	Racing	Superstars V8 Racing	2009	Milestone S.r.l
GEN	?	?	1993	?
3DS	Action	Detective Conan: Phantom Rhapsody	2014	?
PSP	Adventure	Mashiro Iro Symphony: *mutsu-no-hana	2011	?
GBA	Role-Playing	Monster Guardians	2001	?
PSP	Fighting	Sunday vs Magazine Shuuketsu! Choujou Daikessen	2009	?
GBA	Platform	An American Tail: Fievel's Gold Rush	2002	?
PSP	Role-Playing	Magna Carta Portable	2006	?
PSP	Adventure	Diabolik Lovers: More Blood	2013	?
Wii	Fighting	Swords	N/A	Panic Button
GC	Racing	The Italian Job	2003	Climax Group
DS	Sports	Super Dodgeball Brawlers (jp sales)	2008	?
PSP	Role-Playing	Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita	2007	?
DS	Racing	Crazy Chicken: Star Karts	2008	MumboJumbo
PS4	Fighting	JoJo's Bizarre Adventure: Eyes of Heaven	2015	CyberConnect2
PS	Action	M&Ms Shell Shocked	2001	?
PS3	Action	K-On! After School Live!! HD Ver.	2012	?
PS2	Adventure	Metal Gear Solid: The Essential Collection (JP sales)	2007	?
PS3	Action	Ukiyo no Shishi	2015	?
PS	Sports	3D Baseball	1996	?
PS2	Misc	Pachitte Chonmage Tatsujin 12: Pachinko Ultraman	2007	?
SNES	Role-Playing	First Queen: Ornic Senki	1994	?
X360	Simulation	Dream C Club Zero	2011	?
DS	Action	Shining Stars	2008	?
3DS	Role-Playing	Medabots 9: Metabee / Rokusho	2015	?
PC	Adventure	The Void	2008	Ice-Pick Lodge
PS	Adventure	Tail Concerto	1998	?
PC	Strategy	Supreme Ruler: Cold War	2011	BattleGoat Studios
PC	Strategy	Rise of Nations: Rise of Legends	2006	Big Huge Games
GC	Shooter	The Sum of All Fears	2003	Ubisoft Shanghai
GBA	Platform	James Pond: Codename Robocod	2005	?
3DS	Platform	Yumi's Odd Odyssey	2013	Studio Saizensen
PC	Role-Playing	Might & Magic X: Legacy	2014	?
PS	Adventure	Night Head: The Labyrinth	1995	?
DS	Adventure	Emma at the Farm	2008	Nobilis
PSP	Role-Playing	Utawarerumono Portable	2009	?
SNES	Role-Playing	Gaia Saver Hero Saidai no Sakusen	1994	?
PS2	Adventure	EverBlue 2	2002	Arika
Wii	Sports	Kevin Van Dam: Big Bass Challenge	2010	?
PC	Puzzle	Sacra Terra: Angelic Night	2011	"Viva Media, Viva Media, LLC"
DS	Adventure	Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen	2009	?
DS	Puzzle	7 Wonders: Treasures of Seven	2011	?
WiiU	Misc	YoKai Watch Dance: Just Dance Special Version	2015	?
Wii	Adventure	Safari Adventures: Africa	2007	Conspiracy Entertainment
DS	Puzzle	Junior Island Adventure	2011	"CyberPlanet Interactive Public Co., Ltd., Maximum Family Games"
DS	Misc	Clever Kids: Pirates	2008	?
PSP	Misc	Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable	2006	?
DS	Simulation	Yumeiro Patissiere: My Sweets Cooking	2010	?
PC	Shooter	Prey	2006	Arkane Studios
PS3	Adventure	Clannad	2011	?
DS	Misc	Electroplankton	2005	Indies Zero
PS4	Misc	Just Dance 2017	2016	Ubisoft Paris
PS	Shooter	PowerSlave	1996	?
PC	Racing	SBK 2011: FIM Superbike World Championship	2011	?
PC	Sports	Championship Manager Season 01/02	2001	?
XB	Action	Project Gotham Racing 2 (JP weekly sales)	2003	?
Wii	Racing	Maximum Racing: Drag & Stock Racer	2010	?
GBA	Action	CT Special Forces	2002	LSP
PS4	Action	Let's Sing 2016	2015	Voxler
PC	Misc	Casino Chaos With Las Vegas Players Collection	2011	ValuSoft
Wii	Puzzle	Jewel Master: Cradle of Rome	2008	Cerasus Media
PS3	Role-Playing	Dragon's Dogma Online	2015	?
PC	Adventure	Nancy Drew: Alibi In Ashes	2011	Her Interactive
GBA	Sports	FIFA World Cup: Germany 2006	2006	EA Canada
X360	Racing	Crash Time: Autobahn Pusuit	2008	?
GBA	Platform	Earthworm Jim 2	2002	Super Empire
3DS	Sports	Angler's Club: Ultimate Bass Fishing 3D	2011	Tamsoft
PSP	Role-Playing	Dungeon Maker: Hunting Ground	2006	Global A
PC	Strategy	Zoo Tycoon	2001	?
PS3	Role-Playing	Super Hero Generation	2014	?
3DS	Simulation	Tamagotchi no Doki Doki Dream Omisecchi	2013	?
PSP	Racing	MotoGP	2006	Namco Bandai Games
3DS	Role-Playing	Toushin Toshi	2014	?
WiiU	Platform	Trine 2	2012	?
DS	Strategy	Suujin Taisen	2007	?
PSP	Racing	Street Supremacy	2005	Genki
GBA	Racing	Driv3r	2005	Velez & Dubail
DS	Misc	Best Friends Tonight	2010	Ubisoft
PC	Simulation	Apache: Air Assault	2010	Gaijin Entertainment
PS3	Strategy	Fritz Chess	2009	?
DS	Sports	River King: Mystic Valley (jp sales)	2007	?
PS2	Sports	Winning Post World	2009	?
3DS	Role-Playing	Beyond the Labyrinth	N/A	?
PC	Shooter	Call of Juarez: Bound in Blood	2009	Techland
PS3	Role-Playing	Atelier Sophie: The Alchemist of the Mysterious Book	2015	?
PC	Shooter	Red Faction: Guerrilla	2009	"Volition Inc., Reactor Zero"
PS3	Action	.hack: Sekai no Mukou ni + Versus	2012	?
3DS	Role-Playing	Medarot 9: Kabuto Ver. / Kuwagata Ver.	2015	?
GC	Sports	Disney Sports Soccer	2002	KCEO
3DS	Action	Clash of Elementalists	2013	?
PSV	Sports	Rugby 15	2015	HB Studios Multimedia
3DS	Simulation	Cooking Mama 5: Bon Appetit!	2013	?
PSP	Fighting	Legend of the Dragon	2007	Neko Entertainment
DS	Simulation	Mame Goma: Honobo no Nikki	2007	?
PC	Racing	F1 2016 (Codemasters)	2016	?
GC	Action	Disney's Hide & Sneak	2003	?
PC	Role-Playing	Deus Ex: Mankind Divided	2016	"Eidos Montreal, Nixxes Software"
PSV	Strategy	Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice	2013	?
PS2	Strategy	Nobunaga no Yabou: Kakushin with Power-Up Kit	2008	?
PSP	Role-Playing	Astonishia Story	2006	Sonnori
PS2	Action	Raw Danger!	2006	?
PS	Action	Monster Rancher Hop-A-Bout	2000	?
3DS	Misc	3DS Classic Collection	2016	?
PC	Action	Prince of Persia: The Forgotten Sands	2010	Ubisoft Montreal
